WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV
200,5762.0,5762.0,391.0466263563503,3.6292172411709833
201,5762.0,5762.0,388.8462502620432,3.6087960373546353
202,5762.0,5762.0,386.68005767236446,3.5886920830834805
203,5768.5,5764.0,386.54789598700154,3.5874655197152947
204,5775.0,5764.0,384.4496130741818,3.5679918201337033
205,5781.5,5764.0,382.38505726970016,3.5488311343842884
206,5788.0,5764.0,380.3540773759496,3.529982059235503
207,5782.0,5764.0,378.35652266095803,3.5114431957772565
208,5776.0,5764.0,376.39224285740784,3.4932131494118117
209,5770.0,5764.0,374.46108816168453,3.4752905298449592
210,5764.0,5764.0,372.56290923290544,3.4576739510770005
211,5758.0,5758.0,364.6975571919511,3.3846773585711922
212,5752.0,5752.0,356.86488362051114,3.311984047712593
213,5746.0,5746.0,349.06474056011575,3.239592645331371
214,5740.0,5740.0,341.296980511177,3.1675017825164784
215,5736.25,5736.25,335.81145643203763,3.1165918469152807
216,5732.5,5732.5,330.3580217380013,3.065979725799173
217,5728.75,5728.75,324.93653030038513,3.0156640629801728
218,5725.0,5725.0,319.54683644555917,2.9656435064935427
219,5709.75,5709.75,302.68879495399597,2.8091877523457183
220,5694.5,5694.5,285.8622610593138,2.6530244132351846
221,5679.25,5679.25,269.0670904473309,2.4971521498139424
222,5664.0,5664.0,252.30313925510745,2.3415696269218698
223,5634.75,5634.75,221.57026407000376,2.0563446103253247
224,5605.5,5605.5,190.8683219287268,1.7714066764662626
225,5576.25,5576.25,160.19717031638538,1.4867545026955018
226,5547.0,5547.0,129.55666716554788,1.2023867705166347
227,5533.5,5533.5,114.6966708552909,1.064474431736434
228,5520.0,5520.0,99.86704021026253,0.926843909978449
229,5506.5,5506.5,85.06763449973641,0.7894938991519376
230,5493.0,5493.0,70.29831343667138,0.6524230972839016
231,5446.0,5446.0,22.058937176777363,0.20472411658442188
232,5399.0,5399.0,-26.150633682430453,-0.2426982467841317
233,5352.0,5352.0,-74.3305381025657,-0.6898452824937574
234,5305.0,5305.0,-122.48091460530486,-1.1367182761334944
