WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV
200,5762.0,5762.0,391.04662635643945,3.6292172411714363
201,5762.0,5762.0,388.84625026213234,3.6087960373550882
202,5762.0,5762.0,386.6800576724527,3.588692083083925
203,5768.5,5764.0,386.54789598709067,3.587465519715748
204,5775.0,5764.0,384.4496130742709,3.5679918201341563
205,5781.5,5764.0,382.38505726978747,3.5488311343847245
206,5788.0,5764.0,380.354077376036,3.529982059235931
207,5782.0,5764.0,378.3565226610426,3.5114431957776673
208,5776.0,5764.0,376.39224285749333,3.493213149412231
209,5770.0,5764.0,374.46108816177,3.4752905298453785
210,5764.0,5764.0,372.56290923299093,3.4576739510774197
211,5758.0,5758.0,364.6975571920366,3.3846773585716114
212,5752.0,5752.0,356.8648836205957,3.3119840477130036
213,5746.0,5746.0,349.0647405601994,3.239592645331774
214,5740.0,5740.0,341.2969805112607,3.167501782516881
215,5736.25,5736.25,335.8114564321204,3.1165918469156746
216,5732.5,5732.5,330.358021738085,3.0659797257995756
217,5728.75,5728.75,324.936530300467,3.0156640629805582
218,5725.0,5725.0,319.546836445641,2.965643506493928
219,5709.75,5709.75,302.6887949540769,2.8091877523460953
220,5694.5,5694.5,285.86226105939477,2.6530244132355616
221,5679.25,5679.25,269.06709044741,2.4971521498143026
222,5664.0,5664.0,252.3031392551875,2.341569626922239
223,5634.75,5634.75,221.5702640700838,2.0563446103256933
224,5605.5,5605.5,190.86832192880593,1.7714066764666228
225,5576.25,5576.25,160.1971703164645,1.4867545026958622
226,5547.0,5547.0,129.5566671656261,1.2023867705169864
227,5533.5,5533.5,114.69667085537003,1.0644744317367942
228,5520.0,5520.0,99.86704021033984,0.9268439099787923
229,5506.5,5506.5,85.0676344998119,0.789493899152264
230,5493.0,5493.0,70.29831343674778,0.6524230972842364
231,5446.0,5446.0,22.05893717685376,0.2047241165847567
232,5399.0,5399.0,-26.150633682354055,-0.24269824678379695
233,5352.0,5352.0,-74.3305381024893,-0.6898452824934228
234,5305.0,5305.0,-122.48091460522846,-1.13671827613316
235,5294.8,5294.8,-133.8019012732484,-1.2417858492393812
236,5284.6,5284.6,-145.0936357511555,-1.3465819392396394
237,5274.4,5274.4,-156.35625524642728,-1.4511078195261842
238,5264.2,5264.2,-167.5898965303304,-1.5553647594428877
239,5254.0,5254.0,-178.7946959388628,-1.6593540242939897
240,5235.75,5235.75,-198.02078937367241,-1.8377871447229008
241,5217.5,5217.5,-217.21831230299085,-2.015955108610037
242,5199.25,5199.25,-236.38739976255874,-2.193859169192237
243,5181.0,5181.0,-255.52818635654694,-2.371500575701037
244,5172.0,5172.0,-265.39080625849056,-2.463033369436547
245,5163.0,5163.0,-275.225393212193,-2.554305995580214
246,5154.0,5154.0,-285.0320805326701,-2.64531969139921
247,5145.0,5145.0,-294.8110011070503,-2.736075690189581
248,5137.0,5137.0,-303.56228739550806,-2.817294442481145
