WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV
200,5762.0,5762.0,391.04662635643945,3.629217241171444
201,5762.0,5762.0,388.84625026213143,3.6087960373550874
202,5762.0,5762.0,386.68005767245177,3.5886920830839237
203,5768.5,5764.0,386.54789598709067,3.5874655197157552
204,5775.0,5764.0,384.44961307427,3.5679918201341554
205,5781.5,5764.0,382.38505726978656,3.548831134384723
206,5788.0,5764.0,380.354077376036,3.5299820592359383
207,5782.0,5764.0,378.3565226610426,3.511443195777675
208,5776.0,5764.0,376.39224285749333,3.4932131494122385
209,5770.0,5764.0,374.46108816177184,3.475290529845403
210,5764.0,5764.0,372.56290923299093,3.457673951077427
211,5758.0,5758.0,364.6975571920366,3.384677358571619
212,5752.0,5752.0,356.8648836205957,3.311984047713011
213,5746.0,5746.0,349.0647405601994,3.239592645331781
214,5740.0,5740.0,341.2969805112607,3.1675017825168883
215,5736.25,5736.25,335.8114564321204,3.116591846915682
216,5732.5,5732.5,330.35802173808406,3.0659797257995742
217,5728.75,5728.75,324.9365303004679,3.0156640629805738
218,5725.0,5725.0,319.54683644564193,2.9656435064939437
219,5709.75,5709.75,302.688794954076,2.809187752346094
220,5694.5,5694.5,285.8622610593957,2.6530244132355776
221,5679.25,5679.25,269.06709044741183,2.4971521498143265
222,5664.0,5664.0,252.3031392551884,2.341569626922254
223,5634.75,5634.75,221.57026407008289,2.056344610325692
224,5605.5,5605.5,190.86832192880684,1.771406676466638
225,5576.25,5576.25,160.1971703164645,1.4867545026958688
226,5547.0,5547.0,129.556667165627,1.2023867705170017
227,5533.5,5533.5,114.69667085537094,1.0644744317368093
228,5520.0,5520.0,99.86704021033984,0.926843909978799
229,5506.5,5506.5,85.06763449981372,0.7894938991522874
230,5493.0,5493.0,70.29831343674869,0.6524230972842514
231,5446.0,5446.0,22.05893717685467,0.20472411658477163
232,5399.0,5399.0,-26.150633682354055,-0.2426982467837905
233,5352.0,5352.0,-74.33053810248839,-0.689845282493408
234,5305.0,5305.0,-122.48091460522846,-1.1367182761331536
235,5294.8,5294.8,-133.80190127324659,-1.2417858492393579
236,5284.6,5284.6,-145.09363575115367,-1.346581939239616
237,5274.4,5274.4,-156.35625524642637,-1.4511078195261693
238,5264.2,5264.2,-167.5898965303304,-1.5553647594428814
239,5254.0,5254.0,-178.79469593886097,-1.6593540242939664
240,5235.75,5235.75,-198.0207893736697,-1.8377871447228693
241,5217.5,5217.5,-217.21831230298994,-2.015955108610022
