WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV,INTENSITY_NORM
200,5762.0,5762.0,-26.5746553488716,-0.19067884994942644,0.2301696411875958
201,5762.0,5762.0,-23.707393030596904,-0.17010562805152463,0.23145162220366242
202,5762.0,5762.0,-20.839853527607374,-0.14953041729386324,0.2327337271517251
203,5768.5,5768.5,-11.47203777876257,-0.08231433076027686,0.23692216916328662
204,5775.0,5775.0,-2.1039467229256843,-0.015096268839994263,0.24111073426729598
205,5781.5,5781.5,7.264418701044633,0.05212376173047245,0.24529942204398034
206,5788.0,5781.5,10.133057554286097,0.07270686056190108,0.24658201852228917
207,5782.0,5781.5,13.00196889793824,0.0932919145704505,0.24786473683372476
208,5776.0,5776.0,10.371151793139688,0.07441523777501022,0.2466884727843564
209,5770.0,5770.0,7.240605301030882,0.05195289547958781,0.24528877484000775
210,5764.0,5764.0,4.110328482748628,0.029492488151691174,0.24388919746946358
211,5758.0,5758.0,0.9803203994333671,0.00703400905480167,0.24248974025295061
212,5752.0,5752.0,-2.1494198877744566,-0.01542254854759932,0.24109040277069554
213,5746.0,5746.0,-5.278893317738948,-0.037877191392063046,0.23969118460292307
214,5740.0,5740.0,-8.408100829318755,-0.0603299262151016,0.2382920853298603
215,5736.25,5736.25,-9.287043361374344,-0.06663652733500336,0.23789910153025218
216,5732.5,5732.5,-10.165721852768911,-0.07294123390654983,0.23750623578580515
217,5728.75,5728.75,-11.044137242362012,-0.07924405266625963,0.23711348767674592
218,5725.0,5725.0,-11.922290469014115,-0.08554499035065789,0.23672085678330085
219,5709.75,5709.75,-24.300182471588414,-0.17435901938949955,0.23118658024882197
220,5694.5,5694.5,-36.67781418894265,-0.26317118082608,0.22565242009040984
221,5679.25,5679.25,-49.0551865599391,-0.35198148139693736,0.22011837588828995
222,5664.0,5664.0,-61.43230052344006,-0.44078992783860993,0.21458444722268774
223,5634.75,5634.75,-87.80915701830418,-0.6300495286010831,0.20279109679415894
224,5605.5,5605.5,-114.18575698339464,-0.8193072887074282,0.19099786106260006
225,5576.25,5576.25,-140.5621013575701,-1.0085632148941572,0.1792047396082382
226,5547.0,5547.0,-166.93819107969375,-1.1978173138978152,0.1674117320112985
227,5533.5,5533.5,-177.56402708862424,-1.2740599655272566,0.1626608168416384
228,5520.0,5520.0,-188.18961032322386,-1.3503008034466772,0.15791001468985305
229,5506.5,5506.5,-198.81494172235398,-1.4265398343926088,0.15315932513616834
230,5493.0,5493.0,-209.44002222487507,-1.502777065101576,0.1484087477608106
231,5446.0,5446.0,-253.56485276964668,-1.8193821849816232,0.12868010461050694
232,5399.0,5399.0,-297.689434295532,-2.13598551809777,0.10895157279898202
233,5352.0,5352.0,-341.8137677413906,-2.452587071186534,0.08922315190646257
234,5305.0,5305.0,-385.9378540460848,-2.7691868509844544,0.06949484151317409
235,5294.8,5294.8,-393.261694148473,-2.8217369740097693,0.06622028099733723
236,5284.6,5284.6,-400.5852889874177,-2.8742853372172905,0.06294583014118396
237,5274.4,5274.4,-407.90863950178027,-2.92683194734355,0.05967148852494014
238,5264.2,5264.2,-415.2317466304203,-2.9793768111250656,0.0563972557288325
239,5254.0,5254.0,-422.5546113122,-3.0319199352983763,0.05312313133308652
240,5235.75,5235.75,-437.92723448597917,-3.142221802585249,0.04624988121211776
241,5217.5,5217.5,-453.2996170906199,-3.2525219437369737,0.03937673865196287
242,5199.25,5199.25,-468.6717600649836,-3.3628203654900815,0.032503703232847736
243,5181.0,5181.0,-484.0436643479288,-3.4731170745810847,0.025630774534999512
244,5172.0,5172.0,-490.16533087831795,-3.517041344471548,0.02289371757699804
245,5163.0,5163.0,-496.2867605950123,-3.560963915172977,0.020156766500714796
246,5154.0,5154.0,-502.4079544368715,-3.60488479342189,0.01741992088637656
247,5145.0,5145.0,-508.52891334275773,-3.6488039859548254,0.014683180314208816
248,5137.0,5137.0,-513.6496382515315,-3.685546285100203,0.012393654141557214
249,5129.0,5129.0,-518.7701301020543,-3.722286912002659,0.010104232171528366
250,5121.0,5121.0,-523.8903898331855,-3.7590258733987127,0.007814913984348915
251,5113.0,5113.0,-529.0104183837875,-3.7957631760249027,0.005525699160244313
252,5106.0,5106.0,-533.1302166927217,-3.8253236122096546,0.003683697056559937
253,5099.0,5099.0,-537.2497856988466,-3.854882403097586,0.0018417974764034784
254,5092.0,5092.0,-541.3691263410255,-3.8844395554252418,0.0
255,5085.0,5092.0,-538.4882395581171,-3.863768575072397,0.0012880726474124027
256,5092.0,5092.0,-535.6071262889855,-3.8430959696323406,0.002576246559029549
257,5099.0,5099.0,-525.7257874724892,-3.772195244984847,0.006994289754914368
258,5106.0,5105.5,-516.3442240474897,-3.704880515927237,0.011188878486897341
259,5113.0,5105.5,-513.4624369528474,-3.6842030756446684,0.012477353672488367
260,5105.5,5105.5,-510.5804271274237,-3.663524037220987,0.013765928443189468
261,5098.0,5098.0,-515.19819551008,-3.696657515453516,0.011701279050831015
262,5090.5,5098.0,-512.3157430396768,-3.6759753009572003,0.01299005173243023
263,5083.0,5098.0,-509.4330706550754,-3.655291508529361,0.014278922739817596
264,5108.25,5108.25,-496.30017929513633,-3.561060197223445,0.020150766868693104
265,5133.5,5133.5,-468.1670698987209,-3.3591991053374843,0.0327293551405998
266,5158.75,5158.75,-440.03374340468963,-3.1573364557295824,0.04530804047897313
267,5184.0,5184.0,-411.90020075190296,-2.9554722551362644,0.057886822464039395
268,5187.75,5187.75,-405.26644287922227,-2.9078736200683246,0.060852840467957664
269,5191.5,5191.5,-398.63247072550985,-2.860273447488038,0.06381895427902026
270,5195.25,5195.25,-391.99828522962434,-2.812671744131918,0.0667851634774543
271,5199.0,5199.0,-385.36388733042804,-2.7650685167365014,0.0697514676434853
272,5202.75,5202.75,-378.7292779667805,-2.7174637720383075,0.07271786635733998
273,5206.5,5206.5,-372.0944580775458,-2.6698575167738876,0.07568435919924299
274,5210.25,5210.25,-365.45942860158175,-2.6222497576797474,0.07865094574942186
275,5214.0,5214.0,-358.82419047775056,-2.5746405014924245,0.0816176255881021
276,5230.25,5230.25,-339.68874464491273,-2.4373395748471296,0.09017327050950236
277,5246.5,5246.5,-320.55309204192963,-2.300037164581709,0.09872900787985617
278,5262.75,5262.75,-301.41723360766173,-2.1627332774326877,0.1072848372793899
279,5279.0,5279.0,-282.2811702809704,-2.0254279201365977,0.11584075828832938
280,5281.25,5281.25,-277.1449030007161,-1.9885741011434377,0.11813723360722947
