WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV,INTENSITY_NORM
200,5757.0,5757.0,-667.587536005627,-1.6741045619024009,0.0775847222635353
201,5757.0,5757.0,-665.3645310795546,-1.6685299481069775,0.07831539252319628
202,5757.0,5757.0,-663.1399482591496,-1.6629513774370503,0.0790465814143943
203,5762.75,5762.75,-655.1637892013823,-1.6429496195477962,0.08166823201961035
204,5768.5,5768.5,-647.1860555632247,-1.622943913094388,0.08429040016711753
205,5774.25,5771.5,-641.9567490016416,-1.6098304178624168,0.08600919922976716
206,5780.0,5771.5,-639.7258711736049,-1.6042360612461903,0.08674245720088797
207,5771.5,5771.5,-637.4934237360867,-1.5986377685313227,0.08747623108043256
208,5763.0,5763.0,-643.7594083460535,-1.6143509340034055,0.08541669061414797
209,5754.5,5754.5,-650.0238266604774,-1.6300601716871872,0.08335766496704247
210,5746.0,5746.0,-656.2866803363286,-1.6457654857378408,0.08129915359449333
211,5722.25,5722.25,-677.7979710305735,-1.6997091978974743,0.0742286967669521
212,5698.5,5698.5,-699.3077004001843,-1.75364899473432,0.06715875312472253
213,5674.75,5674.75,-720.8158701021312,-1.80758488040355,0.06008932212318202
214,5651.0,5651.0,-742.3224817933824,-1.8615168590603326,0.053020403217708456
215,5650.25,5650.25,-740.8275371309101,-1.857767996859862,0.053511770372093204
216,5649.5,5649.5,-739.3310377716807,-1.8540152359572843,0.0540036485333002
217,5648.75,5648.75,-737.8329853726682,-1.8502585805077814,0.05449603715670559
218,5648.0,5648.75,-735.5833815908372,-1.8446172649491208,0.05523545008383249
219,5648.5,5648.75,-733.3322280831635,-1.83897206315388,0.05597537238391248
220,5649.0,5649.0,-730.8295265066117,-1.8326960560380872,0.056797974974372695
221,5649.5,5649.0,-728.5752785181521,-1.8270430942351754,0.0575389143864945
222,5650.0,5649.0,-726.3194857747603,-1.8213862586612006,0.05828036153770147
223,5626.25,5626.25,-746.8121499333974,-1.872775568232165,0.05154471283700729
224,5602.5,5602.5,-768.303272651041,-1.9266687052989278,0.044480884937961596
225,5578.75,5578.75,-789.7928555846556,-1.9805579810601268,0.037417563144135524
