WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV,INTENSITY_NORM
200,5762.0,5762.0,-26.5746553488716,-0.19067884994941833,0.2301696411875959
201,5762.0,5762.0,-23.707393030597814,-0.17010562805152304,0.23145162220366208
202,5762.0,5762.0,-20.839853527608284,-0.14953041729386166,0.2327337271517248
203,5768.5,5768.5,-11.47203777876166,-0.08231433076026222,0.2369221691632871
204,5775.0,5775.0,-2.1039467229256843,-0.015096268839986151,0.24111073426729607
205,5781.5,5781.5,7.264418701044633,0.05212376173048057,0.24529942204398045
206,5788.0,5781.5,10.133057554285188,0.07270686056190268,0.24658201852228884
207,5782.0,5781.5,13.001968897937331,0.09329191457045208,0.24786473683372445
208,5776.0,5776.0,10.371151793138779,0.07441523777501181,0.24668847278435607
209,5770.0,5770.0,7.240605301030882,0.05195289547959594,0.24528877484000783
210,5764.0,5764.0,4.110328482747718,0.029492488151692767,0.24388919746946325
211,5758.0,5758.0,0.9803203994342766,0.007034009054816309,0.24248974025295109
212,5752.0,5752.0,-2.149419887775366,-0.015422548547597732,0.2410904027706952
213,5746.0,5746.0,-5.278893317739858,-0.03787719139206146,0.23969118460292274
214,5740.0,5740.0,-8.408100829317846,-0.06032992621508696,0.2382920853298608
215,5736.25,5736.25,-9.287043361375254,-0.06663652733500178,0.23789910153025184
216,5732.5,5732.5,-10.165721852768911,-0.07294123390654171,0.23750623578580524
217,5728.75,5728.75,-11.044137242361103,-0.07924405266624497,0.23711348767674642
218,5725.0,5725.0,-11.922290469014115,-0.08554499035064977,0.23672085678330093
219,5709.75,5709.75,-24.300182471588414,-0.17435901938949144,0.23118658024882205
220,5694.5,5694.5,-36.67781418894265,-0.2631711808260719,0.22565242009040992
221,5679.25,5679.25,-49.0551865599391,-0.35198148139692925,0.22011837588829003
222,5664.0,5664.0,-61.43230052344006,-0.4407899278386018,0.21458444722268782
223,5634.75,5634.75,-87.80915701830418,-0.6300495286010749,0.20279109679415902
224,5605.5,5605.5,-114.18575698339555,-0.8193072887074265,0.19099786106259972
225,5576.25,5576.25,-140.562101357571,-1.008563214894156,0.17920473960823785
226,5547.0,5547.0,-166.93819107969466,-1.1978173138978139,0.16741173201129814
227,5533.5,5533.5,-177.56402708862515,-1.2740599655272553,0.16266081684163805
228,5520.0,5520.0,-188.18961032322477,-1.350300803446676,0.1579100146898527
229,5506.5,5506.5,-198.81494172235398,-1.4265398343926008,0.15315932513616837
230,5493.0,5493.0,-209.44002222487507,-1.502777065101568,0.14840874776081062
231,5446.0,5446.0,-253.56485276964668,-1.8193821849816152,0.12868010461050694
232,5399.0,5399.0,-297.6894342955329,-2.135985518097768,0.10895157279898166
233,5352.0,5352.0,-341.8137677413906,-2.452587071186526,0.0892231519064626
234,5305.0,5305.0,-385.9378540460839,-2.7691868509844397,0.0694948415131745
235,5294.8,5294.8,-393.261694148473,-2.821736974009761,0.06622028099733726
236,5284.6,5284.6,-400.5852889874186,-2.8742853372172887,0.06294583014118357
237,5274.4,5274.4,-407.90863950178027,-2.9268319473435414,0.05967148852494017
238,5264.2,5264.2,-415.2317466304203,-2.979376811125057,0.05639725572883253
239,5254.0,5254.0,-422.5546113122,-3.0319199352983683,0.05312313133308652
240,5235.75,5235.75,-437.9272344859801,-3.1422218025852473,0.04624988121211737
241,5217.5,5217.5,-453.2996170906208,-3.252521943736972,0.03937673865196248
242,5199.25,5199.25,-468.67176006498266,-3.362820365490067,0.03250370323284815
243,5181.0,5181.0,-484.04366434792973,-3.473117074581083,0.025630774534999123
244,5172.0,5172.0,-490.16533087831885,-3.5170413444715467,0.022893717576997596
245,5163.0,5163.0,-496.2867605950123,-3.560963915172969,0.020156766500714796
246,5154.0,5154.0,-502.4079544368724,-3.6048847934218884,0.017419920886376145
247,5145.0,5145.0,-508.52891334275773,-3.648803985954817,0.014683180314208816
248,5137.0,5137.0,-513.6496382515325,-3.685546285100201,0.012393654141556826
249,5129.0,5129.0,-518.7701301020552,-3.7222869120026574,0.01010423217152795
250,5121.0,5121.0,-523.8903898331864,-3.7590258733987114,0.00781491398434847
251,5113.0,5113.0,-529.0104183837884,-3.795763176024901,0.0055256991602438965
252,5106.0,5106.0,-533.1302166927217,-3.825323612209646,0.003683697056559937
253,5099.0,5099.0,-537.2497856988466,-3.854882403097578,0.0018417974764034506
254,5092.0,5092.0,-541.3691263410255,-3.8844395554252333,0.0
255,5085.0,5092.0,-538.4882395581171,-3.863768575072389,0.001288072647412375
256,5092.0,5092.0,-535.6071262889855,-3.843095969632332,0.002576246559029549
257,5099.0,5099.0,-525.7257874724892,-3.7721952449848386,0.006994289754914368
258,5106.0,5105.5,-516.3442240474888,-3.7048805159272225,0.01118887848689773
259,5113.0,5105.5,-513.4624369528483,-3.6842030756446666,0.01247735367248795
260,5105.5,5105.5,-510.5804271274246,-3.6635240372209856,0.013765928443189024
261,5098.0,5098.0,-515.19819551008,-3.696657515453508,0.011701279050830987
262,5090.5,5098.0,-512.3157430396768,-3.6759753009571923,0.012990051732430202
263,5083.0,5098.0,-509.4330706550754,-3.6552915085293525,0.014278922739817596
264,5108.25,5108.25,-496.30017929513633,-3.561060197223437,0.020150766868693104
265,5133.5,5133.5,-468.1670698987218,-3.359199105337483,0.03272935514059938
266,5158.75,5158.75,-440.0337434046887,-3.157336455729568,0.04530804047897355
267,5184.0,5184.0,-411.90020075190296,-2.9554722551362564,0.057886822464039395
268,5187.75,5187.75,-405.2664428792232,-2.907873620068323,0.060852840467957275
269,5191.5,5191.5,-398.63247072550985,-2.86027344748803,0.06381895427902026
270,5195.25,5195.25,-391.99828522962525,-2.812671744131916,0.06678516347745392
271,5199.0,5199.0,-385.36388733042804,-2.765068516736493,0.06975146764348533
272,5202.75,5202.75,-378.7292779667814,-2.717463772038306,0.07271786635733957
273,5206.5,5206.5,-372.09445807754673,-2.6698575167738863,0.07568435919924257
274,5210.25,5210.25,-365.45942860158266,-2.6222497576797457,0.07865094574942147
275,5214.0,5214.0,-358.8241904777515,-2.574640501492423,0.0816176255881017
276,5230.25,5230.25,-339.68874464491364,-2.437339574847128,0.09017327050950197
277,5246.5,5246.5,-320.55309204192963,-2.3000371645817004,0.09872900787985622
278,5262.75,5262.75,-301.41723360766173,-2.1627332774326793,0.10728483727938992
279,5279.0,5279.0,-282.2811702809704,-2.0254279201365897,0.1158407582883294
280,5281.25,5281.25,-277.144903000717,-1.9885741011434361,0.1181372336072291
281,5283.5,5283.5,-272.00843270576115,-1.9517188254762643,0.12043379969598718
282,5285.75,5285.75,-266.87176033496416,-1.9148620998716055,0.12273045613482955
283,5288.0,5288.0,-261.73488682718744,-1.878003931065992,0.12502720250398208
284,5314.0,5314.0,-232.84781312129235,-1.670732983603456,0.13794289559025621
285,5340.0,5340.0,-203.96054015613845,-1.463460606413015,0.15085867776729311
286,5366.0,5366.0,-175.07306887058803,-1.2561868062312072,0.16377454861531834
287,5392.0,5392.0,-146.18540020349974,-1.0489115897945451,0.17669050771455896
288,5397.25,5397.25,-138.04753509373768,-0.9905206628077635,0.18032902677001234
289,5402.5,5402.5,-129.9094744801614,-0.9321283330391974,0.1839676332371325
290,5407.75,5407.75,-121.7712193016323,-0.8737346072253782,0.18760632669614535
291,5413.0,5413.0,-113.63277049700991,-0.8153394921028249,0.19124510672727763
292,5420.0,5420.0,-103.74412900515563,-0.7443863691938847,0.19566641502071414
293,5427.0,5427.0,-93.8552957649299,-0.6734318704492671,0.20008780904672227
294,5434.0,5434.0,-83.96627171519685,-0.6024760026055234,0.2045092883855267
295,5441.0,5441.0,-74.0770577948133,-0.5315187723991525,0.20893085261735536
296,5465.0,5465.0,-47.18765494264244,-0.3385815416289102,0.22095336753346295
297,5489.0,5489.0,-20.29806409754383,-0.14564296196910403,0.23297596650304656
298,5513.0,5513.0,6.591713801619335,0.04729695984372119,0.24499864910633126
299,5537.0,5533.4,29.88167781598804,0.21440744520387192,0.25541181972591426
300,5535.2,5533.4,32.77182700669982,0.23514488531864078,0.2567040336864152
301,5533.4,5533.4,35.66216043489658,0.25588364737686636,0.25799633002129696
302,5531.6,5531.6,36.75267716171584,0.26370833870741966,0.2584839107119701
303,5529.8,5529.8,37.8433762482955,0.27153433850835323,0.258971572937475
304,5528.0,5528.0,38.934256755774186,0.27936164004313546,0.2594593162780377
305,5520.5,5520.5,34.32531774529525,0.24629151444906874,0.25739861458430563
306,5513.0,5513.0,29.71655827799259,0.2132226771157873,0.2553379931660831
307,5505.5,5513.0,32.60797741500846,0.23396922936757478,0.25663077493199293
308,5498.0,5513.0,35.499574217480586,0.2547170564071038,0.25792363613386543
309,5514.5,5514.5,39.89134774654849,0.286228973110007,0.2598872410176058
310,5531.0,5531.0,59.28329706335171,0.42537036724917987,0.2685575711545522
311,5547.5,5547.5,78.67542122902705,0.5645130159664994,0.2772279794681388
312,5564.0,5564.0,98.06771930471768,0.7036569125254661,0.2858984655385936
313,5579.0,5579.0,115.9601903515586,0.8320392285773648,0.2938983642804618
314,5594.0,5594.0,133.85283343069204,0.9604227789978474,0.30189833993964993
315,5609.0,5594.0,136.74564760325484,0.981179340928791,0.30319174543959226
316,5624.0,5594.0,139.6386319303865,1.0019371237552488,0.304485227017306
317,5591.75,5591.75,140.2817854732266,1.006551888322459,0.30477278725449874
318,5559.5,5559.5,110.92510729291462,0.795911428068976,0.29164712941633386
319,5527.25,5527.25,81.5685964505883,0.5852721685014187,0.2785215463966184
320,5495.0,5495.0,52.21225200738809,0.3746341028832684,0.26539603777557913
321,5495.0,5495.0,55.1060730244526,0.39539788913938745,0.2666898934455422
322,5495.0,5495.0,58.00005856292046,0.4161628558718502,0.26798382267463333
323,5495.0,5495.0,60.89420768393211,0.4369289963441381,0.2692778250430791
324,5495.0,5495.0,63.788519448624356,0.45769630381970644,0.2705719001311047
325,5481.75,5481.75,53.43299291813673,0.3833931806546356,0.2659418429721045
326,5468.5,5468.5,43.07762715361059,0.30909121101980797,0.2613118576931374
327,5455.25,5455.25,32.72242121618183,0.23479038817867226,0.2566819438744283
328,5442.0,5446.0,26.367374166991794,0.18919156302713727,0.2538405402046817
329,5444.0,5446.0,29.262485067178204,0.20996460447121731,0.255134972594
330,5446.0,5446.0,32.15775297788241,0.23073877249942687,0.25642947518425585
331,5448.0,5446.0,35.053176960242126,0.2515140603752277,0.2577240475556748
332,5450.0,5446.0,37.94875607539507,0.27229046136208174,0.25901868928848243
333,5440.75,5440.75,35.59448938448077,0.2553980930809112,0.2579660736330281
334,5431.5,5431.5,29.240375948640576,0.20980596680533561,0.2551250873909383
335,5422.25,5422.25,22.88641482901039,0.16421493343122465,0.2522841692509152
336,5413.0,5413.0,16.532605086731564,0.1186249862220662,0.24944331879318588
337,5392.25,5392.25,-1.3210542170563713,-0.009478847251875044,0.24146077316110373
338,5371.5,5371.5,-19.17456402121752,-0.13758160803394018,0.23347829437176643
339,5350.75,5350.75,-37.02792526461053,-0.2656833028606413,0.22549588200540102
340,5330.0,5330.0,-54.88113888609587,-0.3937839384685035,0.21751353564223389
341,5325.25,5325.25,-56.73420582453582,-0.4070800910643813,0.21668501129640066
342,5320.5,5320.5,-58.58712701878994,-0.42037519791447703,0.21585655211421792
343,5315.75,5315.75,-60.43990340772143,-0.43366926575533543,0.2150281576759107
344,5311.0,5311.0,-62.29253593018802,-0.4469623013234621,0.21419982756170652
345,5296.75,5296.75,-73.64502552505382,-0.5284188482324079,0.2091240184691959
346,5282.5,5282.5,-84.99737313117657,-0.6098743763416787,0.20404827286124053
347,5268.25,5268.25,-96.34957968742037,-0.691328892387826,0.19897259031806508
